,index,prix
0,NE,383.9113363
1,GE,1849.2338549600001
2,SZ,0.936551
3,BL,0.228818
4,AR,0.0
5,VD,2394.0841266
6,LU,53.142334670000004
7,ZH,3521.83432727
8,SH,0.176691
9,AG,124.88464387
10,ZG,0.495715
11,NW,0.0
12,TI,90.40028575
13,TG,4.018981
14,BE,1554.41591829
15,SO,1.225751
16,AI,0.0
17,OW,0.0
18,JU,0.2
19,GR,15.173402
20,BS,1356.05746437
21,FR,459.29163925
22,UR,0.0
23,SG,87.09870545
24,GL,0.0
25,VS,28.6517002
26,OUT,8.926497
