Canton,Amount
GE,5145.17959686
VD,5145.17959686
FR,5145.17959686
JU,5145.17959686
VS,5145.17959686
NE,5145.17959686
ZH,6840.02501522
BE,6840.02501522
LU,6840.02501522
UR,6840.02501522
SZ,6840.02501522
OW,6840.02501522
NW,6840.02501522
GL,6840.02501522
ZG,6840.02501522
SO,6840.02501522
BS,6840.02501522
BL,6840.02501522
SH,6840.02501522
AR,6840.02501522
AI,6840.02501522
SG,6840.02501522
GR,6840.02501522
AG,6840.02501522
TG,6840.02501522
TI,93.61009275
